tag,threshold,balanced_accuracy,positive_rate
ensemble_avg_top3,0.33499999999999974,0.6736552713363615,0.7294117647058823
ensemble_avg_top3,0.33599999999999974,0.6757829309108295,0.7279411764705882
ensemble_avg_top3,0.33699999999999974,0.6757829309108295,0.7279411764705882
ensemble_avg_top3,0.33799999999999975,0.6757829309108295,0.7279411764705882
ensemble_avg_top3,0.33899999999999975,0.6757829309108295,0.7279411764705882
ensemble_avg_top3,0.33999999999999975,0.6767869949796796,0.725
ensemble_avg_top3,0.34099999999999975,0.6767869949796796,0.725
ensemble_avg_top3,0.3419999999999997,0.6789146545541478,0.7235294117647059
ensemble_avg_top3,0.3429999999999997,0.6831699737030839,0.7205882352941176
ensemble_avg_top3,0.3439999999999997,0.685297633277552,0.7191176470588235
ensemble_avg_top3,0.3449999999999997,0.6916806120009562,0.7147058823529412
ensemble_avg_top3,0.3459999999999997,0.6926846760698064,0.711764705882353
ensemble_avg_top3,0.3469999999999997,0.6969399952187425,0.7088235294117647
ensemble_avg_top3,0.3479999999999997,0.6990676547932106,0.7073529411764706
ensemble_avg_top3,0.3489999999999997,0.6990676547932106,0.7073529411764706
ensemble_avg_top3,0.3499999999999997,0.6979440592875926,0.7058823529411765
ensemble_avg_top3,0.3509999999999997,0.6945732727707388,0.7014705882352941
ensemble_avg_top3,0.3519999999999997,0.6934496772651207,0.7
ensemble_avg_top3,0.3529999999999997,0.6934496772651207,0.7
ensemble_avg_top3,0.3539999999999997,0.6955773368395888,0.6985294117647058
ensemble_avg_top3,0.3549999999999997,0.6955773368395888,0.6985294117647058
ensemble_avg_top3,0.3559999999999997,0.6944537413339709,0.6970588235294117
ensemble_avg_top3,0.3569999999999997,0.693330145828353,0.6955882352941176
ensemble_avg_top3,0.3579999999999997,0.694334209897203,0.6926470588235294
ensemble_avg_top3,0.3589999999999997,0.694214678460435,0.6882352941176471
ensemble_avg_top3,0.3599999999999997,0.6919674874491992,0.6852941176470588
ensemble_avg_top3,0.3609999999999997,0.6908438919435812,0.6838235294117647
ensemble_avg_top3,0.3619999999999997,0.6950992110925174,0.6808823529411765
ensemble_avg_top3,0.3629999999999997,0.6950992110925174,0.6808823529411765
ensemble_avg_top3,0.3639999999999997,0.6950992110925174,0.6808823529411765
ensemble_avg_top3,0.3649999999999997,0.6950992110925174,0.6808823529411765
ensemble_avg_top3,0.3659999999999997,0.6993545302414534,0.6779411764705883
ensemble_avg_top3,0.3669999999999997,0.6993545302414534,0.6779411764705883
ensemble_avg_top3,0.3679999999999997,0.6993545302414534,0.6779411764705883
ensemble_avg_top3,0.3689999999999997,0.7014821898159216,0.6764705882352942
ensemble_avg_top3,0.3699999999999997,0.7036098493903897,0.675
ensemble_avg_top3,0.3709999999999997,0.7036098493903897,0.675
ensemble_avg_top3,0.3719999999999997,0.7046139134592397,0.6720588235294118
ensemble_avg_top3,0.37299999999999967,0.7044943820224718,0.6676470588235294
ensemble_avg_top3,0.37399999999999967,0.7044943820224718,0.6676470588235294
ensemble_avg_top3,0.37499999999999967,0.70662204159694,0.6661764705882353
ensemble_avg_top3,0.37599999999999967,0.70662204159694,0.6661764705882353
ensemble_avg_top3,0.37699999999999967,0.7076261056657901,0.663235294117647
ensemble_avg_top3,0.37799999999999967,0.7086301697346402,0.6602941176470588
ensemble_avg_top3,0.37899999999999967,0.7063829787234043,0.6573529411764706
ensemble_avg_top3,0.37999999999999967,0.7063829787234043,0.6573529411764706
ensemble_avg_top3,0.3809999999999997,0.7052593832177863,0.6558823529411765
ensemble_avg_top3,0.3819999999999997,0.7041357877121683,0.6544117647058824
ensemble_avg_top3,0.3829999999999997,0.7030121922065503,0.6529411764705882
ensemble_avg_top3,0.3839999999999997,0.7030121922065503,0.6529411764705882
ensemble_avg_top3,0.3849999999999997,0.7017690652641645,0.6470588235294118
ensemble_avg_top3,0.3859999999999997,0.7017690652641645,0.6470588235294118
ensemble_avg_top3,0.3869999999999997,0.7038967248386325,0.6455882352941177
ensemble_avg_top3,0.3879999999999997,0.7060243844131007,0.6441176470588236
ensemble_avg_top3,0.3889999999999997,0.7060243844131007,0.6441176470588236
ensemble_avg_top3,0.3899999999999997,0.7060243844131007,0.6441176470588236
ensemble_avg_top3,0.3909999999999997,0.7091561080564188,0.6397058823529411
ensemble_avg_top3,0.3919999999999997,0.7134114272053551,0.6367647058823529
ensemble_avg_top3,0.3929999999999997,0.7134114272053551,0.6367647058823529
ensemble_avg_top3,0.3939999999999997,0.7144154912742051,0.6338235294117647
ensemble_avg_top3,0.3949999999999997,0.7207984699976093,0.6294117647058823
ensemble_avg_top3,0.3959999999999997,0.7229261295720775,0.6279411764705882
ensemble_avg_top3,0.3969999999999997,0.7250537891465455,0.6264705882352941
ensemble_avg_top3,0.3979999999999997,0.7280659813530959,0.6176470588235294
ensemble_avg_top3,0.3989999999999997,0.7280659813530959,0.6176470588235294
ensemble_avg_top3,0.3999999999999997,0.7280659813530959,0.6176470588235294
ensemble_avg_top3,0.4009999999999997,0.732321300502032,0.6147058823529412
ensemble_avg_top3,0.4019999999999997,0.732321300502032,0.6147058823529412
ensemble_avg_top3,0.4029999999999997,0.731197704996414,0.6132352941176471
